# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::StringIsValid(char const*, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_emap_split_commit
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] irq_enter_rcu
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataSegment::ChunkCount() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::CollectionScanState::GetColumnIds()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_task_info
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_rq_lock_irqsave
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] add_interrupt_randomness
     0.00%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::BuildBufferSpace(duckdb::PartitionedTupleDataAppendState&)
     0.00%  duckdb   duckdb                                                             [.] void std::vector<duckdb::BindCastFunction, std::allocator<duckdb::BindCastFunction> >::_M_realloc_insert<duckdb::BoundCastInfo (&)(duckdb::BindCastInput&, duckdb::LogicalType const&, duckdb::LogicalType const&)>(__gnu_cxx::__normal_iterator<duckdb::BindCastFunction*, std::vector<duckdb::BindCastFunction, std::allocator<duckdb::BindCastFunction> > >, duckdb::BoundCastInfo (&)(duckdb::BindCastInput&, duckdb::LogicalType const&, duckdb::LogicalType const&))
     0.00%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::ResizeThreshold() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::BlockHandle::GetBuffer(std::unique_lock<std::mutex>&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] wake_q_add
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_proctitle
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] touch_atime
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::TupleDataCollection, std::default_delete<duckdb::TupleDataCollection>, true>::AssertNotNull(bool)
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] malloc@plt
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataChunkState::TupleDataChunkState()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] bdev_end_io_acct
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __kmalloc_noprof
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] set_next_task_idle
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rcu_disable_urgency_upon_qs
     0.00%  duckdb   duckdb                                                             [.] std::mutex::lock()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __irqentry_text_start
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::~TupleDataCollection()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __queue_work
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] switch_fpu_return
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_edata_avail_remove
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] cpuacct_charge
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] kprobe_ftrace_handler
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] btrfs_release_extent_buffer_rcu
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] entry_SYSRETQ_unsafe_stack
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] blkcg_maybe_throttle_current
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] crypt_dec_pending
     0.00%  duckdb   duckdb                                                             [.] duckdb::BitpackingScanState<long, long>::~BitpackingScanState()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rwsem_mark_wake
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] probe_sched_switch
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mempool_free
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] end_bbio_data_write
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] irq_chip_ack_parent
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_filter
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_ctx_unlock
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] syscall_trace_enter
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] enqueue_task_fair
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] widen_string
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] std::locale::locale()@plt
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rwsem_wake.isra.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rwsem_down_write_slowpath
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rcu_note_context_switch
     0.00%  duckdb   duckdb                                                             [.] duckdb::ColumnDataAllocator::AllocateEmptyBlock(unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_tcache_bin_flush_stashed
     0.00%  duckdb   duckdb                                                             [.] duckdb::DataChunk::Verify()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] try_to_block_task.constprop.0.isra.0
     0.00%  duckdb   ld-linux-x86-64.so.2                                               [.] _dl_lookup_symbol_x
     0.00%  duckdb   duckdb                                                             [.] duckdb::DatabaseInstance::GetScheduler()
     0.00%  duckdb   duckdb                                                             [.] duckdb::FileBuffer::FileBuffer(duckdb::Allocator&, duckdb::FileBufferType, unsigned long, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __pkru_allows_pkey
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vma_modify
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] select_idle_sibling
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ima_file_mprotect
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rb_insert_color
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] call_function_single_prep_ipi
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_output_begin
